,LeagueId,SeasonId,RoundApiId
473,39,2019,39-2019-13
474,39,2019,39-2019-14
475,39,2019,39-2019-15
476,39,2019,39-2019-16
477,39,2019,39-2019-17
478,39,2019,39-2019-18
479,39,2019,39-2019-19
480,39,2019,39-2019-20
481,39,2019,39-2019-21
482,39,2019,39-2019-22
483,39,2019,39-2019-23
484,39,2019,39-2019-24
485,39,2019,39-2019-25
486,39,2019,39-2019-26
487,39,2019,39-2019-27
488,39,2019,39-2019-28
489,39,2019,39-2019-29
490,39,2019,39-2019-30
491,39,2019,39-2019-31
492,39,2019,39-2019-32
493,39,2019,39-2019-33
494,39,2019,39-2019-34
495,39,2019,39-2019-35
496,39,2019,39-2019-36
497,39,2019,39-2019-37
498,39,2019,39-2019-38
499,39,2020,39-2020-1
500,39,2020,39-2020-2
501,39,2020,39-2020-3
502,39,2020,39-2020-4
503,39,2020,39-2020-5
504,39,2020,39-2020-6
505,39,2020,39-2020-7
506,39,2020,39-2020-8
507,39,2020,39-2020-9
508,39,2020,39-2020-10
509,39,2020,39-2020-11
510,39,2020,39-2020-12
511,39,2020,39-2020-13
512,39,2020,39-2020-14
513,39,2020,39-2020-15
514,39,2020,39-2020-16
515,39,2020,39-2020-17
516,39,2020,39-2020-18
517,39,2020,39-2020-19
518,39,2020,39-2020-20
519,39,2020,39-2020-21
520,39,2020,39-2020-22
521,39,2020,39-2020-23
522,39,2020,39-2020-24
523,39,2020,39-2020-25
524,39,2020,39-2020-26
525,39,2020,39-2020-29
526,39,2020,39-2020-33
527,39,2020,39-2020-27
528,39,2020,39-2020-28
529,39,2020,39-2020-30
530,39,2020,39-2020-31
531,39,2020,39-2020-32
532,39,2020,39-2020-34
533,39,2020,39-2020-35
534,39,2020,39-2020-36
535,39,2020,39-2020-37
536,39,2020,39-2020-38
537,39,2021,39-2021-1
538,39,2021,39-2021-2
539,39,2021,39-2021-3
540,39,2021,39-2021-4
541,39,2021,39-2021-5
542,39,2021,39-2021-6
543,39,2021,39-2021-7
544,39,2021,39-2021-8
545,39,2021,39-2021-9
546,39,2021,39-2021-10
547,39,2021,39-2021-11
548,39,2021,39-2021-12
549,39,2021,39-2021-13
550,39,2021,39-2021-14
551,39,2021,39-2021-15
552,39,2021,39-2021-16
553,39,2021,39-2021-17
554,39,2021,39-2021-18
555,39,2021,39-2021-19
556,39,2021,39-2021-20
557,39,2021,39-2021-21
558,39,2021,39-2021-22
559,39,2021,39-2021-24
560,39,2021,39-2021-23
561,39,2021,39-2021-25
562,39,2021,39-2021-26
