,TeamApiId,Name,Code,Country,Founded,National,Logo
117,504,Verona,VER,Italy,1903.0,False,https://media.api-sports.io/football/teams/504.png
118,506,Benevento,BEN,Italy,1929.0,False,https://media.api-sports.io/football/teams/506.png
119,512,Frosinone,FRO,Italy,1928.0,False,https://media.api-sports.io/football/teams/512.png
120,523,Parma,PAR,Italy,1913.0,False,https://media.api-sports.io/football/teams/523.png
121,518,Brescia,BRE,Italy,1911.0,False,https://media.api-sports.io/football/teams/518.png
122,867,Lecce,LEC,Italy,1908.0,False,https://media.api-sports.io/football/teams/867.png
123,515,Spezia,SPE,Italy,1906.0,False,https://media.api-sports.io/football/teams/515.png
124,514,Salernitana,SAL,Italy,2011.0,False,https://media.api-sports.io/football/teams/514.png
125,517,Venezia,VEN,Italy,1907.0,False,https://media.api-sports.io/football/teams/517.png
126,520,Cremonese,CRE,Italy,1903.0,False,https://media.api-sports.io/football/teams/520.png
127,1579,Monza,MON,Italy,1912.0,False,https://media.api-sports.io/football/teams/1579.png
128,895,Como,COM,Italy,1907.0,False,https://media.api-sports.io/football/teams/895.png
129,801,Pisa,PIS,Italy,1909.0,False,https://media.api-sports.io/football/teams/801.png
130,77,Angers,ANG,France,1919.0,False,https://media.api-sports.io/football/teams/77.png
131,78,Bordeaux,BOR,France,1881.0,False,https://media.api-sports.io/football/teams/78.png
132,79,Lille,LIL,France,1944.0,False,https://media.api-sports.io/football/teams/79.png
133,80,Lyon,LYO,France,1950.0,False,https://media.api-sports.io/football/teams/80.png
134,81,Marseille,MAR,France,1899.0,False,https://media.api-sports.io/football/teams/81.png
135,82,Montpellier,MON,France,1974.0,False,https://media.api-sports.io/football/teams/82.png
136,83,Nantes,NAN,France,1943.0,False,https://media.api-sports.io/football/teams/83.png
137,84,Nice,NIC,France,1904.0,False,https://media.api-sports.io/football/teams/84.png
138,85,Paris Saint Germain,PAR,France,1970.0,False,https://media.api-sports.io/football/teams/85.png
139,88,Caen,CAE,France,1897.0,False,https://media.api-sports.io/football/teams/88.png
140,89,Dijon,DIJ,France,1936.0,False,https://media.api-sports.io/football/teams/89.png
141,90,Guingamp,GUI,France,1912.0,False,https://media.api-sports.io/football/teams/90.png
142,91,Monaco,MON,France,1919.0,False,https://media.api-sports.io/football/teams/91.png
143,94,Rennes,REN,France,1901.0,False,https://media.api-sports.io/football/teams/94.png
144,96,Toulouse,TOU,France,1937.0,False,https://media.api-sports.io/football/teams/96.png
