Id,FixturesId,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore,Day,Month,Year
4361,157164,39,2019,39-2019-15,40,45,2019-12-04 20:15:00,FT,5,2,4,12,2019
4362,157158,39,2019,39-2019-15,62,34,2019-12-05 19:30:00,FT,0,2,5,12,2019
4363,157155,39,2019,39-2019-15,42,51,2019-12-05 20:15:00,FT,1,2,5,12,2019
4364,157168,39,2019,39-2019-16,45,49,2019-12-07 12:30:00,FT,3,1,7,12,2019
4365,157165,39,2019,39-2019-16,35,40,2019-12-07 15:00:00,FT,0,3,7,12,2019
4366,157173,39,2019,39-2019-16,38,52,2019-12-07 15:00:00,FT,0,0,7,12,2019
4367,157172,39,2019,39-2019-16,47,44,2019-12-07 15:00:00,FT,5,0,7,12,2019
4368,157169,39,2019,39-2019-16,50,33,2019-12-07 17:30:00,FT,1,2,7,12,2019
4369,157170,39,2019,39-2019-16,34,41,2019-12-08 14:00:00,FT,2,1,8,12,2019
4370,157166,39,2019,39-2019-16,66,46,2019-12-08 14:00:00,FT,1,4,8,12,2019
4371,157171,39,2019,39-2019-16,71,62,2019-12-08 14:00:00,FT,1,2,8,12,2019
4372,157167,39,2019,39-2019-16,51,39,2019-12-08 16:30:00,FT,2,2,8,12,2019
4373,157174,39,2019,39-2019-16,48,42,2019-12-09 20:00:00,FT,1,3,9,12,2019
4374,157180,39,2019,39-2019-17,40,38,2019-12-14 12:30:00,FT,2,0,14,12,2019
4375,157176,39,2019,39-2019-17,44,34,2019-12-14 15:00:00,FT,1,0,14,12,2019
4376,157179,39,2019,39-2019-17,46,71,2019-12-14 15:00:00,FT,1,1,14,12,2019
4377,157177,39,2019,39-2019-17,49,35,2019-12-14 15:00:00,FT,0,1,14,12,2019
4378,157182,39,2019,39-2019-17,62,66,2019-12-14 15:00:00,FT,2,0,14,12,2019
4379,157183,39,2019,39-2019-17,41,48,2019-12-14 17:30:00,FT,0,1,14,12,2019
4380,157181,39,2019,39-2019-17,33,45,2019-12-15 14:00:00,FT,1,1,15,12,2019
4381,157184,39,2019,39-2019-17,39,47,2019-12-15 14:00:00,FT,1,2,15,12,2019
4382,157175,39,2019,39-2019-17,42,50,2019-12-15 16:30:00,FT,0,3,15,12,2019
4383,157178,39,2019,39-2019-17,52,51,2019-12-16 19:45:00,FT,1,1,16,12,2019
4384,157188,39,2019,39-2019-18,45,42,2019-12-21 12:30:00,FT,0,0,21,12,2019
4385,157190,39,2019,39-2019-18,34,52,2019-12-21 15:00:00,FT,1,0,21,12,2019
4386,157185,39,2019,39-2019-18,35,44,2019-12-21 15:00:00,FT,0,1,21,12,2019
4387,157187,39,2019,39-2019-18,51,62,2019-12-21 15:00:00,FT,0,1,21,12,2019
4388,157186,39,2019,39-2019-18,66,41,2019-12-21 15:00:00,FT,1,3,21,12,2019
4389,157191,39,2019,39-2019-18,71,39,2019-12-21 15:00:00,FT,1,2,21,12,2019
4390,157189,39,2019,39-2019-18,50,46,2019-12-21 17:30:00,FT,3,1,21,12,2019
4391,157193,39,2019,39-2019-18,38,33,2019-12-22 14:00:00,FT,2,0,22,12,2019
4392,157192,39,2019,39-2019-18,47,49,2019-12-22 16:30:00,FT,0,2,22,12,2019
4393,157203,39,2019,39-2019-19,47,51,2019-12-26 12:30:00,FT,2,1,26,12,2019
4394,157195,39,2019,39-2019-19,35,42,2019-12-26 15:00:00,FT,1,1,26,12,2019
4395,157199,39,2019,39-2019-19,45,44,2019-12-26 15:00:00,FT,1,0,26,12,2019
4396,157197,39,2019,39-2019-19,49,41,2019-12-26 15:00:00,FT,0,2,26,12,2019
4397,157198,39,2019,39-2019-19,52,48,2019-12-26 15:00:00,FT,2,1,26,12,2019
4398,157202,39,2019,39-2019-19,62,38,2019-12-26 15:00:00,FT,1,1,26,12,2019
4399,157196,39,2019,39-2019-19,66,71,2019-12-26 15:00:00,FT,1,0,26,12,2019
