Id,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore
1038286,140,2023,140-2023-34,547,529,2024-05-04 16:30:00,FT,4,2
1038285,140,2023,140-2023-34,798,530,2024-05-04 19:00:00,FT,0,1
1038287,140,2023,140-2023-34,727,543,2024-05-05 12:00:00,FT,0,2
1038282,140,2023,140-2023-34,538,533,2024-05-05 14:15:00,FT,3,2
1038291,140,2023,140-2023-34,532,542,2024-05-05 16:30:00,FT,0,1
1038289,140,2023,140-2023-34,536,715,2024-05-05 19:00:00,FT,3,0
1038283,140,2023,140-2023-34,728,723,2024-05-05 19:00:00,FT,0,1
1038297,140,2023,140-2023-35,542,547,2024-05-10 19:00:00,FT,2,2
1038301,140,2023,140-2023-35,798,534,2024-05-11 12:00:00,FT,1,0
1038300,140,2023,140-2023-35,533,536,2024-05-11 14:15:00,FT,3,2
1038296,140,2023,140-2023-35,715,541,2024-05-11 16:30:00,FT,0,4
1038292,140,2023,140-2023-35,531,727,2024-05-11 19:00:00,FT,2,2
1038295,140,2023,140-2023-35,724,546,2024-05-12 12:00:00,FT,1,0
1038293,140,2023,140-2023-35,530,538,2024-05-12 14:15:00,FT,1,0
1038299,140,2023,140-2023-35,532,728,2024-05-12 16:30:00,FT,0,0
1038298,140,2023,140-2023-35,543,723,2024-05-12 19:00:00,FT,3,2
1038294,140,2023,140-2023-35,529,548,2024-05-13 19:00:00,FT,2,0
1038309,140,2023,140-2023-36,727,798,2024-05-14 17:30:00,FT,1,1
1038311,140,2023,140-2023-36,541,542,2024-05-14 19:30:00,FT,5,0
1038303,140,2023,140-2023-36,547,533,2024-05-14 20:00:00,FT,0,1
1038308,140,2023,140-2023-36,536,724,2024-05-15 17:30:00,FT,0,1
1038310,140,2023,140-2023-36,728,715,2024-05-15 17:30:00,FT,2,1
1038305,140,2023,140-2023-36,538,531,2024-05-15 20:00:00,FT,2,1
1038306,140,2023,140-2023-36,546,530,2024-05-15 20:00:00,FT,0,3
1038307,140,2023,140-2023-36,534,543,2024-05-16 17:30:00,FT,2,2
1038302,140,2023,140-2023-36,723,529,2024-05-16 19:30:00,FT,0,2
1038304,140,2023,140-2023-36,548,532,2024-05-16 20:00:00,FT,1,0
1038317,140,2023,140-2023-37,542,546,2024-05-18 19:00:00,FT,1,0
1038314,140,2023,140-2023-37,529,728,2024-05-19 17:00:00,FT,3,0
1038313,140,2023,140-2023-37,530,727,2024-05-19 17:00:00,FT,1,4
1038312,140,2023,140-2023-37,531,536,2024-05-19 17:00:00,FT,2,0
1038320,140,2023,140-2023-37,532,547,2024-05-19 17:00:00,FT,1,3
1038321,140,2023,140-2023-37,533,541,2024-05-19 17:00:00,FT,4,4
1038315,140,2023,140-2023-37,543,548,2024-05-19 17:00:00,FT,0,2
1038319,140,2023,140-2023-37,715,538,2024-05-19 17:00:00,FT,1,2
1038316,140,2023,140-2023-37,724,534,2024-05-19 17:00:00,FT,0,0
1038318,140,2023,140-2023-37,798,723,2024-05-19 17:00:00,FT,2,2
1038325,140,2023,140-2023-38,547,715,2024-05-24 19:00:00,FT,7,0
1038326,140,2023,140-2023-38,727,533,2024-05-25 12:00:00,FT,1,1
1038328,140,2023,140-2023-38,548,530,2024-05-25 14:15:00,FT,0,2
1038322,140,2023,140-2023-38,723,724,2024-05-25 16:30:00,FT,6,1
1038327,140,2023,140-2023-38,728,531,2024-05-25 16:30:00,FT,0,1
1038330,140,2023,140-2023-38,541,543,2024-05-25 19:00:00,FT,0,0
1038324,140,2023,140-2023-38,546,798,2024-05-26 12:00:00,FT,1,2
1038331,140,2023,140-2023-38,534,542,2024-05-26 14:15:00,FT,1,1
1038323,140,2023,140-2023-38,538,532,2024-05-26 14:15:00,FT,2,2
1038329,140,2023,140-2023-38,536,529,2024-05-26 19:00:00,FT,1,2
1208494,140,2024,140-2024-1,531,546,2024-08-15 17:00:00,FT,1,1
1208495,140,2024,140-2024-1,543,547,2024-08-15 19:30:00,FT,1,1
1208501,140,2024,140-2024-1,538,542,2024-08-16 17:00:00,FT,2,1
1208497,140,2024,140-2024-1,534,536,2024-08-16 19:30:00,FT,2,2
1208502,140,2024,140-2024-1,727,537,2024-08-17 17:00:00,FT,1,1
1208499,140,2024,140-2024-1,532,529,2024-08-17 19:30:00,FT,1,2
1208500,140,2024,140-2024-1,548,728,2024-08-18 17:00:00,FT,1,2
1208496,140,2024,140-2024-1,798,541,2024-08-18 19:30:00,FT,1,1
1212910,140,2024,140-2024-1,720,540,2024-08-19 17:00:00,FT,1,0
